year,course,number,median_hsc,median_band,pct_b6,pct_b5,pct_b4,pct_b3,pct_b2
2020,Aboriginal Studies,653.0,72.0,4,13.0,16.0,28.0,21.0,13.0
2020,Agriculture,1470.0,74.0,4,10.0,28.0,23.0,22.0,12.0
2020,Ancient History,7164.0,74.0,4,9.0,25.0,30.0,22.0,10.0
2020,Biology,18633.0,74.0,4,7.0,24.0,32.0,24.0,11.0
2020,Business Studies,17877.0,74.0,4,9.0,26.0,27.0,21.0,11.0
2020,Chemistry,10137.0,77.0,4,13.0,30.0,26.0,21.0,8.0
2020,Community & Family Studies,8774.0,75.0,4,5.0,29.0,36.0,21.0,8.0
2020,Dance,914.0,81.0,5,9.0,48.0,30.0,11.0,1.0
2020,Design & Technology,3484.0,79.0,4,16.0,32.0,36.0,15.0,2.0
2020,Drama,3902.0,79.0,4,19.0,28.0,43.0,8.0,1.0
2020,Earth & Environmental Science,2117.0,73.0,4,6.0,23.0,32.0,24.0,10.0
2020,Economics,5010.0,80.0,5,13.0,38.0,26.0,14.0,6.0
2020,Engineering Studies,2313.0,75.0,4,12.0,22.0,35.0,23.0,6.0
2020,English Studies Exam,1274.0,55.0,2,0.0,0.0,2.0,29.0,46.0
2020,English Standard,30914.0,71.0,4,1.0,11.0,46.0,32.0,10.0
2020,English Advanced,24773.0,82.0,5,14.0,49.0,31.0,5.0,1.0
2020,English EAL/D,2022.0,72.0,4,3.0,23.0,31.0,27.0,11.0
2020,English Extension 1,3551.0,43.0,E3,,,39.0,54.0,7.0
2020,English Extension 2,1380.0,41.0,E3,,,26.0,57.0,17.0
2020,Food Technology,3376.0,73.0,4,9.0,21.0,30.0,24.0,13.0
2020,Geography,4396.0,77.0,4,13.0,29.0,29.0,16.0,8.0
2020,Industrial Technology,5856.0,70.0,4,8.0,16.0,29.0,28.0,13.0
2020,Information Processes & Technology,2024.0,73.0,4,8.0,25.0,26.0,23.0,12.0
2020,Investigating Science,2589.0,73.0,4,5.0,24.0,30.0,26.0,11.0
2020,Legal Studies,10651.0,76.0,4,15.0,25.0,28.0,21.0,8.0
2020,Mathematics Standard 1 Exam,1340.0,71.0,4,3.0,14.0,39.0,27.0,13.0
2020,Mathematics Standard 2,30026.0,70.0,4,5.0,19.0,26.0,25.0,17.0
2020,Mathematics Advanced,16771.0,80.0,5,23.0,29.0,28.0,15.0,3.0
2020,Mathematics Extension 1,8804.0,84.0,E3,,,38.0,37.0,20.0
2020,Mathematics Extension 2,3372.0,86.0,E3,,,36.0,48.0,13.0
2020,Modern History,10860.0,76.0,4,10.0,27.0,29.0,18.0,9.0
2020,History Extension,1746.0,39.0,E3,,,21.0,56.0,22.0
2020,Music 1,4500.0,83.0,5,22.0,43.0,26.0,7.0,1.0
2020,Music 2,688.0,88.0,5,38.0,49.0,12.0,,
2020,Music Extension,400.0,47.0,E4,,,69.0,29.0,2.0
2020,PDH&PE,16183.0,74.0,4,9.0,25.0,27.0,24.0,10.0
2020,Physics,7991.0,76.0,4,13.0,28.0,27.0,19.0,10.0
2020,Science Extension,608.0,37.0,E3,,,7.0,67.0,25.0
2020,Society & Culture,4566.0,78.0,4,11.0,33.0,36.0,14.0,5.0
2020,Software Design & Development,1737.0,75.0,4,13.0,25.0,28.0,23.0,8.0
2020,Studies of Religion I,8129.0,39.0,4,8.0,36.0,33.0,17.0,5.0
2020,Studies of Religion II,6133.0,78.0,4,7.0,37.0,30.0,18.0,6.0
2020,Textiles & Design,1323.0,82.0,5,17.0,39.0,28.0,11.0,3.0
2020,Visual Arts,8580.0,83.0,5,17.0,48.0,25.0,8.0,2.0
2020,Arabic Continuers,299.0,79.0,4,9.0,41.0,31.0,15.0,3.0
2020,Arabic Extension,101.0,40.0,E3,,,32.0,45.0,24.0
2020,Armenian Continuers,26.0,87.0,5,38.0,46.0,15.0,,
2020,Chinese Beginners,80.0,77.0,4,24.0,24.0,13.0,15.0,10.0
2020,Chinese Continuers,187.0,88.0,5,43.0,33.0,13.0,7.0,2.0
2020,Chinese Extension,40.0,46.0,E4,,,70.0,28.0,3.0
2020,Chinese & Literature,461.0,84.0,5,17.0,52.0,24.0,4.0,2.0
2020,Chinese in Context,137.0,90.0,6,55.0,34.0,10.0,1.0,
2020,Classical Greek Continuers,10.0,90.0,6,50.0,20.0,20.0,10.0,
2020,Classical Hebrew Continuers,25.0,90.0,6,52.0,32.0,16.0,,
2020,Classical Hebrew Extension,15.0,48.0,E4,,,80.0,20.0,
2020,French Beginners,507.0,80.0,5,25.0,27.0,19.0,15.0,9.0
2020,French Continuers,593.0,84.0,5,31.0,33.0,22.0,11.0,3.0
2020,French Extension,133.0,41.0,E3,,,27.0,54.0,19.0
2020,German Beginners,89.0,80.0,5,30.0,21.0,20.0,21.0,4.0
2020,German Continuers,212.0,83.0,5,25.0,40.0,22.0,8.0,5.0
2020,German Extension,55.0,45.0,E4,,,53.0,47.0,
2020,Hindi Continuers,12.0,87.0,5,42.0,17.0,42.0,,
2020,Indonesian Beginners,44.0,82.0,5,27.0,30.0,25.0,11.0,7.0
2020,Indonesian Continuers,78.0,83.0,5,26.0,37.0,19.0,15.0,3.0
2020,Indonesian Extension,16.0,41.0,E3,,,25.0,69.0,6.0
2020,Italian Beginners,306.0,78.0,4,16.0,30.0,28.0,16.0,7.0
2020,Italian Continuers,210.0,82.0,5,27.0,31.0,29.0,10.0,2.0
2020,Italian Extension,42.0,45.0,E4,,,57.0,36.0,7.0
2020,Japanese Beginners,635.0,73.0,4,17.0,18.0,24.0,21.0,13.0
2020,Japanese Continuers,671.0,82.0,5,29.0,27.0,23.0,16.0,4.0
2020,Japanese Extension,163.0,44.0,E3,,,44.0,45.0,10.0
2020,Japanese & Literature,11.0,83.0,5,18.0,45.0,18.0,18.0,
