year,course,number,mark_type,mean,sd,max,p99,p90,p75,p50,p25
2020,Aboriginal Studies,653.0,hsc,35.2,7.9,49.0,48.0,45.5,40.5,36.0,30.5
2020,Aboriginal Studies,653.0,scaled,14.5,12.1,43.7,42.1,35.4,21.7,11.1,4.3
2020,Agriculture,1470.0,hsc,36.6,6.9,49.0,48.0,45.0,42.0,37.0,32.0
2020,Agriculture,1470.0,scaled,18.9,11.3,45.5,43.6,35.0,27.4,17.5,9.2
2020,Ancient History,7164.0,hsc,36.3,6.9,49.5,47.5,44.5,41.5,37.0,32.5
2020,Ancient History,7164.0,scaled,23.2,11.0,49.5,45.5,38.2,31.6,23.2,14.6
2020,Biology,18633.0,hsc,36.4,5.8,48.5,46.5,44.0,41.0,37.0,32.5
2020,Biology,18633.0,scaled,26.0,9.9,50.0,45.5,39.1,33.5,26.3,18.7
2020,Business Studies,17877.0,hsc,36.2,7.1,49.5,47.5,44.5,41.5,37.0,32.0
2020,Business Studies,17877.0,scaled,23.9,10.9,49.5,44.7,38.6,32.8,24.0,15.1
2020,Chemistry,10137.0,hsc,38.0,6.0,50.0,48.0,45.5,43.0,38.5,33.5
2020,Chemistry,10137.0,scaled,31.6,9.5,50.0,47.6,43.3,39.2,32.8,24.8
2020,Community & Family Studies,8774.0,hsc,37.2,5.0,49.0,46.5,43.5,41.0,37.5,34.0
2020,Community & Family Studies,8774.0,scaled,18.9,10.5,44.6,40.7,33.7,27.1,18.3,10.1
2020,Dance,914.0,hsc,40.0,4.4,50.0,49.0,44.5,43.5,40.5,37.5
2020,Dance,914.0,scaled,22.8,11.1,47.2,45.7,37.9,31.8,22.7,14.0
2020,Design & Technology,3484.0,hsc,39.5,4.7,49.5,48.5,46.0,43.0,39.5,36.0
2020,Design & Technology,3484.0,scaled,22.2,10.8,47.9,45.3,37.2,30.3,21.7,13.4
2020,Drama,3902.0,hsc,40.0,4.8,50.0,49.0,46.5,43.5,39.5,37.5
2020,Drama,3902.0,scaled,23.7,11.2,50.0,46.9,39.8,32.0,23.1,15.2
2020,Earth & Environmental Science,2117.0,hsc,36.1,6.2,48.0,46.5,44.0,40.5,36.5,32.0
2020,Earth & Environmental Science,2117.0,scaled,22.9,10.7,48.0,44.2,37.5,31.1,23.2,14.4
2020,Economics,5010.0,hsc,38.7,6.1,49.5,47.5,45.5,43.0,40.0,35.5
2020,Economics,5010.0,scaled,32.0,9.6,50.0,47.1,43.0,39.4,33.9,26.3
2020,Engineering Studies,2313.0,hsc,37.3,5.8,49.5,47.5,45.0,41.5,37.5,34.0
2020,Engineering Studies,2313.0,scaled,25.8,9.6,48.6,44.1,38.4,32.9,25.9,18.9
2020,English Studies Exam,1274.0,hsc,25.1,8.5,39.0,36.0,33.0,30.5,27.5,25.0
2020,English Studies Exam,1274.0,scaled,6.8,5.8,28.8,20.8,15.2,11.5,5.7,1.7
