report_year,year,percentile,atar
2020,2016,30.0,53.95
2020,2016,40.0,61.65
2020,2016,50.0,68.65
2020,2016,60.0,75.25
2020,2016,70.0,81.6
2020,2016,75.0,84.75
2020,2016,80.0,87.85
2020,2016,85.0,90.9
2020,2016,90.0,93.95
2020,2016,95.0,96.95
2020,2016,98.0,98.75
2020,2016,99.0,99.4
2020,2016,100.0,99.95
2021,2017,30.0,55.35
2021,2017,40.0,62.4
2021,2017,50.0,69.0
2021,2017,60.0,75.4
2021,2017,70.0,81.6
2021,2017,75.0,84.7
2021,2017,80.0,87.75
2021,2017,85.0,90.8
2021,2017,90.0,93.85
2021,2017,95.0,96.9
2021,2017,98.0,98.75
2021,2017,99.0,99.35
2021,2017,100.0,99.95
2022,2018,30.0,56.2
2022,2018,40.0,63.15
2022,2018,50.0,69.65
2022,2018,60.0,75.85
2022,2018,70.0,82.0
2022,2018,75.0,85.0
2022,2018,80.0,88.0
2022,2018,85.0,91.0
2022,2018,90.0,94.0
2022,2018,95.0,97.0
2022,2018,98.0,98.8
2022,2018,99.0,99.4
2022,2018,100.0,99.95
2023,2019,30.0,56.35
2023,2019,40.0,63.25
2023,2019,50.0,69.75
2023,2019,60.0,75.95
2023,2019,70.0,82.05
2023,2019,75.0,85.05
2023,2019,80.0,88.05
2023,2019,85.0,91.05
2023,2019,90.0,94.0
2023,2019,95.0,97.0
2023,2019,98.0,98.8
2023,2019,99.0,99.4
2023,2019,100.0,99.95
2024,2020,30.0,56.9
2024,2020,40.0,63.75
2024,2020,50.0,70.15
2024,2020,60.0,76.3
2024,2020,70.0,82.3
2024,2020,75.0,85.3
2024,2020,80.0,88.25
2024,2020,85.0,91.15
2024,2020,90.0,94.1
2024,2020,95.0,97.05
2024,2020,98.0,98.8
2024,2020,99.0,99.4
2024,2020,100.0,99.95
2025,2021,30.0,57.25
2025,2021,40.0,64.05
2025,2021,50.0,70.4
2025,2021,60.0,76.5
2025,2021,70.0,82.4
2025,2021,75.0,85.35
2025,2021,80.0,88.3
2025,2021,85.0,91.2
2025,2021,90.0,94.15
2025,2021,95.0,97.05
2025,2021,98.0,98.8
2025,2021,99.0,99.4
2025,2021,100.0,99.95
2025,2022,30.0,58.5
2025,2022,40.0,65.1
2025,2022,50.0,71.25
2025,2022,60.0,77.2
2025,2022,70.0,82.95
2025,2022,75.0,85.8
2025,2022,80.0,88.65
2025,2022,85.0,91.5
2025,2022,90.0,94.3
2025,2022,95.0,97.15
2025,2022,98.0,98.85
2025,2022,99.0,99.4
2025,2022,100.0,99.95
2025,2023,30.0,58.2
2025,2023,40.0,64.85
2025,2023,50.0,71.05
2025,2023,60.0,77.0
2025,2023,70.0,82.85
2025,2023,75.0,85.7
2025,2023,80.0,88.55
2025,2023,85.0,91.4
2025,2023,90.0,94.25
2025,2023,95.0,97.1
2025,2023,98.0,98.85
2025,2023,99.0,99.4
2025,2023,100.0,99.95
2025,2024,30.0,58.85
2025,2024,40.0,65.4
2025,2024,50.0,71.55
2025,2024,60.0,77.4
2025,2024,70.0,83.1
2025,2024,75.0,85.95
2025,2024,80.0,88.75
2025,2024,85.0,91.55
2025,2024,90.0,94.35
2025,2024,95.0,97.15
2025,2024,98.0,98.85
2025,2024,99.0,99.4
2025,2024,100.0,99.95
2025,2025,30.0,57.75
2025,2025,40.0,64.45
2025,2025,50.0,70.75
2025,2025,60.0,76.75
2025,2025,70.0,82.65
2025,2025,75.0,85.55
2025,2025,80.0,88.45
2025,2025,85.0,91.35
2025,2025,90.0,94.2
2025,2025,95.0,97.1
2025,2025,98.0,98.8
2025,2025,99.0,99.4
2025,2025,100.0,99.95
