report_year,year,atar,lowest_aggregate
2020,2016,50.0,191.4
2020,2016,55.0,210.9
2020,2016,60.0,231.4
2020,2016,65.0,253.4
2020,2016,70.0,275.1
2020,2016,75.0,297.5
2020,2016,80.0,320.6
2020,2016,85.0,345.3
2020,2016,90.0,371.7
2020,2016,95.0,403.8
2020,2016,98.0,431.2
2020,2016,99.0,446.0
2020,2016,99.5,455.8
2020,2016,99.95,476.6
2021,2017,50.0,182.0
2021,2017,55.0,204.2
2021,2017,60.0,226.6
2021,2017,65.0,249.4
2021,2017,70.0,273.3
2021,2017,75.0,296.2
2021,2017,80.0,319.9
2021,2017,85.0,344.8
2021,2017,90.0,372.4
2021,2017,95.0,404.1
2021,2017,98.0,432.2
2021,2017,99.0,446.6
2021,2017,99.5,457.1
2021,2017,99.95,477.1
2022,2018,50.0,178.0
2022,2018,55.0,201.0
2022,2018,60.0,224.1
2022,2018,65.0,248.1
2022,2018,70.0,271.1
2022,2018,75.0,294.5
2022,2018,80.0,318.2
2022,2018,85.0,343.1
2022,2018,90.0,371.1
2022,2018,95.0,402.8
2022,2018,98.0,429.9
2022,2018,99.0,444.5
2022,2018,99.5,455.5
2022,2018,99.95,476.3
2023,2019,50.0,176.8
2023,2019,55.0,200.2
2023,2019,60.0,223.5
2023,2019,65.0,245.9
2023,2019,70.0,268.6
2023,2019,75.0,291.7
2023,2019,80.0,316.3
2023,2019,85.0,342.2
2023,2019,90.0,370.0
2023,2019,95.0,402.0
2023,2019,98.0,429.6
2023,2019,99.0,443.8
2023,2019,99.5,454.5
2023,2019,99.95,476.7
2024,2020,50.0,175.5
2024,2020,55.0,198.3
2024,2020,60.0,221.1
2024,2020,65.0,244.1
2024,2020,70.0,267.2
2024,2020,75.0,290.8
2024,2020,80.0,315.8
2024,2020,85.0,341.8
2024,2020,90.0,370.1
2024,2020,95.0,404.2
2024,2020,98.0,433.8
2024,2020,99.0,447.8
2024,2020,99.5,458.8
2024,2020,99.95,478.1
2025,2021,50.0,172.8
2025,2021,55.0,195.4
2025,2021,60.0,217.2
2025,2021,65.0,239.8
2025,2021,70.0,263.8
2025,2021,75.0,288.0
2025,2021,80.0,313.5
2025,2021,85.0,340.2
2025,2021,90.0,369.8
2025,2021,95.0,404.8
2025,2021,98.0,433.7
2025,2021,99.0,448.0
2025,2021,99.5,458.7
2025,2021,99.95,478.8
2025,2022,50.0,162.8
2025,2022,55.0,186.4
2025,2022,60.0,210.4
2025,2022,65.0,234.4
2025,2022,70.0,259.5
2025,2022,75.0,285.2
2025,2022,80.0,310.9
2025,2022,85.0,338.9
2025,2022,90.0,368.9
2025,2022,95.0,404.6
2025,2022,98.0,434.3
2025,2022,99.0,449.1
2025,2022,99.5,459.9
2025,2022,99.95,478.1
2025,2023,50.0,164.3
2025,2023,55.0,188.2
2025,2023,60.0,212.5
2025,2023,65.0,236.8
2025,2023,70.0,261.8
2025,2023,75.0,287.4
2025,2023,80.0,313.0
2025,2023,85.0,340.2
2025,2023,90.0,370.0
2025,2023,95.0,405.5
2025,2023,98.0,435.0
2025,2023,99.0,449.5
2025,2023,99.5,459.3
2025,2023,99.95,479.8
2025,2024,50.0,160.6
2025,2024,55.0,185.3
2025,2024,60.0,210.1
2025,2024,65.0,235.4
2025,2024,70.0,260.6
2025,2024,75.0,286.2
2025,2024,80.0,312.6
2025,2024,85.0,340.2
2025,2024,90.0,369.2
2025,2024,95.0,403.5
2025,2024,98.0,431.6
2025,2024,99.0,445.6
2025,2024,99.5,455.9
2025,2024,99.95,477.4
2025,2025,50.0,165.7
2025,2025,55.0,190.0
2025,2025,60.0,212.9
2025,2025,65.0,237.2
2025,2025,70.0,262.0
2025,2025,75.0,287.5
2025,2025,80.0,313.8
2025,2025,85.0,341.6
2025,2025,90.0,370.7
2025,2025,95.0,404.6
2025,2025,98.0,433.2
2025,2025,99.0,447.8
2025,2025,99.5,459.4
2025,2025,99.95,479.4
